rank,title,price,reviews_count,rating,asin,url,category_path,market_place,units_sold,category_name,log_reviews,log_price,log_units_sold,rank_group
12,"Priorin Capsules For Hormonal Hereditary Hair Loss (1) In Women, 30 Capsules",12.01,9391.0,4.4,B0010HL4NY,https://www.amazon.de/-/en/Priorin-Capsules-Hormonal-Hereditary-Women/dp/B0010HL4NY/ref=zg_bs_g_beauty_d_sccl_12/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,9.147613542067878,2.485739636091892,8.006367567650246,11-50
13,"Golecha 100% Natural Henna Paste Cones (Red–Brown) No Mix, No PPD (Paraphenylenediamine), 125 g 4 pcs",4.29,3762.0,4.0,B07LGPCY2B,https://www.amazon.de/-/en/Golecha-Natural-Henna-Red-Brown-Paraphenylenediamine/dp/B07LGPCY2B/ref=zg_bs_g_beauty_d_sccl_13/261-6764158-5700328?psc=1,beauty,de,6000.0,Beauty,8.232971790593437,1.4562867329399256,8.699514748210191,11-50
14,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Aufhellender und glättender täglicher Toner für einen gleichmäßigeren Hautton",10.95,42440.0,4.5,B071914GGL,https://www.amazon.de/-/en/Ordinary-Glycolic-Acid-Toning-Solution/dp/B071914GGL/ref=zg_bs_g_beauty_d_sccl_14/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,10.655870155127044,2.3933394562625097,8.294049640102028,11-50
15,"Wella Professionals Koleston Perfect Pure Naturals Permanent Hair Colour, Professional Colouration with up to 100% Grey Coverage & Me+ Colour Technology",7.7,10272.0,4.7,B07FFJ3MY3,https://www.amazon.de/-/en/Wella-Professionals-Koleston-Naturals-Multi-Coloured/dp/B07FFJ3MY3/ref=zg_bs_g_beauty_d_sccl_15/261-6764158-5700328?psc=1,beauty,de,600.0,Beauty,9.237274373216264,2.0412203288596382,6.396929655216146,11-50
16,"Kanzy 100% Organic Jojoba Oil for Hair, Skin, Face, Cold Pressed Hexane-free Oil, Natural Massage Oil for Hair, Intensive Body Care Oil for Cosmetics and Dry Skin - 120 ml 120 ml",13.99,33174.0,4.5,B07BYPW7LZ,https://www.amazon.de/-/en/Organic-Pressed-Hexane-free-Intensive-Cosmetics/dp/B07BYPW7LZ/ref=zg_bs_g_beauty_d_sccl_16/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,10.409551859200409,2.63834278867739,7.600902459542082,11-50
17,"Schaebens Collagen Boost Mask - Intensive Care for Smoother and Younger Looking Skin with Collagen, Bakuchiol and Grape Seed Oil for Demanding Skin, 2 Applications",0.6,1333.0,4.5,B0CFVYW3HM,https://www.amazon.de/-/en/Schaebens-Collagen-Boost-Mask-Applications/dp/B0CFVYW3HM/ref=zg_bs_g_beauty_d_sccl_17/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,7.195937226475569,-0.5108256237659907,8.006367567650246,11-50
18,Revlon Equave Conditioner with Keratin 500 ml.,12.11,15017.0,4.6,B00CZCD63O,https://www.amazon.de/-/en/Revlon-Equave-Conditioner-Keratin-500/dp/B00CZCD63O/ref=zg_bs_g_beauty_d_sccl_18/261-6764158-5700328?psc=1,beauty,de,5000.0,Beauty,9.61700476065983,2.494031557565001,8.517193191416238,11-50
19,"Lashcocaine® Professional Eyelash Serum, Eyelash Booster, Svenja Walberg®, Includes Measuring Cards for Visible Success",29.72,17281.0,4.1,B07XZ7PXD8,https://www.amazon.de/-/en/Lashcocaine%C2%AE-Professional-Svenja-Walberg%C2%AE-Measuring/dp/B07XZ7PXD8/ref=zg_bs_g_beauty_d_sccl_19/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.757420776401345,3.391820219849558,8.294049640102028,11-50
20,"HealthRoutine® Nail Care Pen - The Original from Austria for Nourished Fingernails & Toenails - With Tea Tree Oil, Vitamin E & Aloe Vera for External Use",19.0,4696.0,4.0,B0BLHDHY7P,https://www.amazon.de/-/en/HealthRoutine%C2%AE-Nail-Care-Pen-Fingernails/dp/B0BLHDHY7P/ref=zg_bs_g_beauty_d_sccl_20/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.454679286026995,2.9444389791664403,8.006367567650246,11-50
21,"Milk & Honey Hand Soap Refill, 2 x 1000 ml, by Amazon",4.36,4711.0,4.3,B0CS62LY6P,https://www.amazon.de/-/en/Milk-Honey-Hand-Refill-Amazon/dp/B0CS62LY6P/ref=zg_bs_g_beauty_d_sccl_21/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,8.457867725331422,1.472472057360943,6.907755278982137,11-50
22,"Remington Pro-Ceramic Hair straightener, Extra Long, Extra Wide styling plates, Black, S5525",19.99,40901.0,4.5,B00MCSW8X0,https://www.amazon.de/-/en/Remington-Pro-Ceramic-straightener-styling-plates/dp/B00MCSW8X0/ref=zg_bs_g_beauty_d_sccl_22/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,10.618934240590841,2.995232148512309,7.600902459542082,11-50
23,by Amazon 200 x 100% Cotton Buds,1.43,718.0,4.6,B0FPDB8ZGS,https://www.amazon.de/-/en/Amazon-200-100-Cotton-Buds/dp/B0FPDB8ZGS/ref=zg_bs_g_beauty_d_sccl_23/261-6764158-5700328?psc=1,beauty,de,5000.0,Beauty,6.577861357721047,0.3576744442718159,8.517193191416238,11-50
24,"IMPERIO Root Touch-Up Powder, Hair Concealer, for Hair Thickening, for Women and Men, Waterproof Hair Makeup for Concealing Roots, 4 g, Dark Brown",14.9,7610.0,4.2,B07YYLNFK7,https://www.amazon.de/IMPERIO-Concealer-Thickening-Waterproof-Concealing/dp/B07YYLNFK7/ref=zg_bs_g_beauty_d_sccl_24/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,8.937349848267392,2.7013612129514133,6.907755278982137,11-50
25,"Olaplex No. 3 Hair Perfector, 100 ml",17.7,22129.0,4.4,B08TWTQDCX,https://www.amazon.de/-/en/Olaplex-No-Hair-Perfector-100/dp/B08TWTQDCX/ref=zg_bs_g_beauty_d_sccl_25/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,10.004689433045096,2.8735646395797834,8.294049640102028,11-50
26,"bruno banani Body Spray for Men, 150 ml, Lavender",3.12,4357.0,4.6,B0B2QFJJ1R,https://www.amazon.de/-/en/bruno-banani-Body-Spray-Lavender/dp/B0B2QFJJ1R/ref=zg_bs_g_beauty_d_sccl_26/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,8.379768515504566,1.1378330018213911,6.907755278982137,11-50
27,"Syoss Eyebrow Kit 4-1 Dark Brown, 17 ml, Pack of 1 (1 x 17 ml)",6.95,7872.0,4.5,B07NYTY2QG,https://www.amazon.de/-/en/Syoss-Eyebrow-Dark-Brown-Pack/dp/B07NYTY2QG/ref=zg_bs_g_beauty_d_sccl_27/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.971194463184467,1.9387416595767009,8.006367567650246,11-50
28,OLAPLEX No. 4 Bond Maintenance Shampoo,19.69,15208.0,4.5,B08TWQ37XF,https://www.amazon.de/-/en/Olaplex-No-Bond-Maintenance-Shampoo/dp/B08TWQ37XF/ref=zg_bs_g_beauty_d_sccl_28/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.629642636872369,2.9801108926510342,8.294049640102028,11-50
29,"CeraVe Face Moisturising Cream with SPF 50, Cream for Dry to Very Dry Skin, Day Cream with Hyaluronic and 3 Essential Ceramides, 52 ml",14.7,7937.0,4.6,B09XN22JBT,https://www.amazon.de/-/en/CeraVe-Moisturiser-Hyaluronic-Essential-Ceramides/dp/B09XN22JBT/ref=zg_bs_g_beauty_d_sccl_29/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,8.97941663334301,2.6878474937846906,8.294049640102028,11-50
30,"Old Spice Captain 3-in-1 Shower Gel & Shampoo for Men, 1L, Long-Lasting Fresh Fragrance in Perfume Quality, Deep Cleansing for Hair, Face, Body, Gentle Skin Feeling",8.25,7161.0,4.7,B0BQJBFZT2,https://www.amazon.de/-/en/Old-Spice-Long-Lasting-Fragrance-Cleansing/dp/B0BQJBFZT2/ref=zg_bs_g_beauty_d_sccl_30/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,8.876544550558378,2.1102132003465894,8.294049640102028,11-50
31,"Introductory Offer: Organic Certified Hyaluronic Acid, Serum, Vegan + Vitamin C + Vitamin E + Jojoba Oil, Hyaluronic Anti-Ageing And Anti-Wrinkle, Suitable For Dermaroller, Double Amount 60 ml, Base For Make-up",11.93,130127.0,4.2,B076611KCY,https://www.amazon.de/-/en/Introductory-Offer-Anti-Ageing-Anti-Wrinkle-Dermaroller/dp/B076611KCY/ref=zg_bs_g_beauty_d_sccl_31/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,11.776273860406556,2.4790562361098245,8.006367567650246,11-50
32,"Neutrogena Instant Absorbing Hand Cream, Light and Non-Greasy Moisturising Cream with Glycerine + Vitamin E for Dry, Cracked Hands 75 ml",2.95,2931.0,4.7,B0BBXZ2LYF,https://www.amazon.de/-/en/Neutrogena-Absorbing-Non-Greasy-Moisturising-Glycerine/dp/B0BBXZ2LYF/ref=zg_bs_g_beauty_d_sccl_32/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,7.983440063006542,1.0818051703517284,7.600902459542082,11-50
33,Erborian CC Red Correct mit Centella Asiatica - Deckender Teint-Perfektionierer und Korrektor für Unreinheiten - Kosmetikpflege für das Gesicht mit Farbkorrektur - LSF 25,21.68,7743.0,4.4,B07LGCGG6R,https://www.amazon.de/-/en/Erborian-Red-Correct-Naturally-Complexion/dp/B07LGCGG6R/ref=zg_bs_g_beauty_d_sccl_33/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,8.954673628956414,3.0763901765714454,7.600902459542082,11-50
34,"Rexona Maximum Protection Women’s Travel Deodorant Cream, Clean Scent, 45 ml",5.3,10511.0,4.6,B00AI7COA4,https://www.amazon.de/-/en/Rexona-Maximum-Protection-Womens-Deodorant/dp/B00AI7COA4/ref=zg_bs_g_beauty_d_sccl_34/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.260272740724393,1.667706820558076,8.294049640102028,11-50
35,"Maybelline New York Mascara for Volume and Definition, Lash Sensational, Very Black, 9.5 ml",5.45,71311.0,4.4,B00PFCSXD4,https://www.amazon.de/-/en/Maybelline-Mascara-Definition-Sensational-Black/dp/B00PFCSXD4/ref=zg_bs_g_beauty_d_sccl_35/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,11.174819895186337,1.6956156086751528,7.600902459542082,11-50
36,"Roche Posay Effaclar Foaming Cleansing Gel, 400 Millilitres",15.2,44291.0,4.6,B003JSEGNC,https://www.amazon.de/-/en/Roche-Effaclar-Foaming-Cleansing-Millilitres/dp/B003JSEGNC/ref=zg_bs_g_beauty_d_sccl_36/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,10.698559352817998,2.7212954278522306,8.294049640102028,11-50
37,"Mixa Cream for Dry and Cracked Skin, Moisturiser for the Body, Hands and Face, with Urea and Niacinamide, Urea Cica Repair + Skin Renewing Cream, 1 x 400 ml",6.79,6993.0,4.5,B09V8JNGD4,https://www.amazon.de/-/en/Mixa-Cracked-Moisturiser-Niacinamide-Renewing/dp/B09V8JNGD4/ref=zg_bs_g_beauty_d_sccl_37/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,8.852807917623322,1.9154509415706047,8.294049640102028,11-50
38,"by Amazon Double Texture 100% Cotton Pads, 120 Pads",1.33,1332.0,4.7,B0FH3SR2RG,https://www.amazon.de/-/en/Amazon-Double-Texture-100-Cotton/dp/B0FH3SR2RG/ref=zg_bs_g_beauty_d_sccl_38/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,7.195187320178709,0.28517894223366247,8.006367567650246,11-50
39,"Rael Miracle Anti Pimple Patch Invisible - Korean Skincare, Invisible Pimple Patches for the Face, Hydrocolloid Acne Plasters, Vegan, Cruelty Free, 2 Sizes (Pack of 96)",18.99,73774.0,4.3,B07G1VKCND,https://www.amazon.de/-/en/Rael-Miracle-Pimple-Patch-Invisible/dp/B07G1VKCND/ref=zg_bs_g_beauty_d_sccl_39/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,11.20877519981114,2.9439125248241944,6.907755278982137,11-50
40,"GRUNDIG HD 6080 B Hair Dryer 2200 W, Hair Dryer, Ion Function, 3 Temperature and 2 Air Flow Levels, Cold Setting, Ceramic Coating, 1.8 m Cable, Black/Silver",17.99,12457.0,4.5,B0CC5QDN4L,https://www.amazon.de/-/en/GRUNDIG-HD-6080-Function-Temperature/dp/B0CC5QDN4L/ref=zg_bs_g_beauty_d_sccl_40/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.430118265814091,2.8898160479624417,8.294049640102028,11-50
41,"STRUKTURPASTE Curl and Texture Comb, Hair Tongs Texture Comb, Styling, Volume Tool, for Hair Roots, Fringe, Lifts Hair, Brush, for Men and Women",8.99,167.0,4.6,B0G2WBPCXR,https://www.amazon.de/-/en/STRUKTURPASTE-Texture-Tongs-Styling-Fringe/dp/B0G2WBPCXR/ref=zg_bs_g_beauty_d_sccl_41/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,5.123963979403259,2.196112848483529,7.600902459542082,11-50
42,NÉONAIL UV Nail Polish - Base Coat Gel UV - Modeling Base Calcium Neutral Pink 7.2 ml - Base Coat for Nails - Varnish - Gel Nails - NÉONAIL Modeling Base,7.35,1599.0,4.5,B0FR9BYJRC,https://www.amazon.de/-/en/N%C3%89ONAIL-UV-Nail-Polish-Modeling/dp/B0FR9BYJRC/ref=zg_bs_g_beauty_d_sccl_42/261-6764158-5700328?psc=1,beauty,de,600.0,Beauty,7.3777589082278725,1.9947003132247452,6.396929655216146,11-50
43,"Olaplex No.7 Bonding Oil, 30 ml",16.4,14816.0,4.5,B07ZHKTQL3,https://www.amazon.de/-/en/Olaplex-No-7-Bonding-Pack-Colour/dp/B07ZHKTQL3/ref=zg_bs_g_beauty_d_sccl_43/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.603530449208735,2.797281334830153,8.294049640102028,11-50
44,OLAPLEX No. 5 Bond Maintenance Conditioner,17.99,11901.0,4.6,B08TWV3S41,https://www.amazon.de/-/en/Olaplex-Maintenance-Conditioner-Strengthens-Nourishes/dp/B08TWV3S41/ref=zg_bs_g_beauty_d_sccl_44/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,9.384461732204798,2.8898160479624417,8.294049640102028,11-50
45,"Ion Hair Dryer AC Motor 1800 W Hair Dryer, slopehill Quick Drying Hair Dryer, Salon Hair Dryer with Hot/Cold Button, 3 Hair Dryer Concentrators and Diffuser, 3 Temperature Settings, 2-Speed (Purple)",33.96,14549.0,4.4,B086SR1KML,https://www.amazon.de/-/en/slopehill-Concentrators-Diffuser-Temperature-Settings/dp/B086SR1KML/ref=zg_bs_g_beauty_d_sccl_45/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,9.585346272599638,3.5251833614431467,8.006367567650246,11-50
46,"The Ordinary Salicylic Acid 2% Solution, Special Serum for Blemish-Prone Skin, 30 ml",6.1,6570.0,4.6,B0C3PCJ6SD,https://www.amazon.de/-/en/Ordinary-Salicylic-Solution-Special-Blemish-Prone/dp/B0C3PCJ6SD/ref=zg_bs_g_beauty_d_sccl_46/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.790421306897867,1.8082887711792655,8.006367567650246,11-50
51,"Mixa Panthenol Skin Soothing Cream with Panthenol, Care Cream for Dry, Sensitive and Neurodermatitis-Prone Skin, Wound Healing Cream for Redness and Itching, Panthenol Comfort, 400 ml",6.39,1954.0,4.6,B0BPSWK6Y5,https://www.amazon.de/-/en/Mixa-Panthenol-Soothing-Sensitive-Neurodermatitis-Prone/dp/B0BPSWK6Y5/ref=zg_bs_g_beauty_d_sccl_1/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,7.578145472419466,1.8547342683894434,8.294049640102028,51-100
52,"L'Oréal Men Expert Barber Club XXL Shower Gel for Men, Body, Hair & Beard, 400 ml",2.8,4504.0,4.7,B09226X45Y,https://www.amazon.de/-/en/LOr%C3%A9al-Expert-Barber-Shower-Beard/dp/B09226X45Y/ref=zg_bs_g_beauty_d_sccl_2/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.412943170042439,1.0296194171811581,8.006367567650246,51-100
53,"COSLUS Wireless Portable Nail Cutter, 11-in-1 Professional Manicure and Pedicure Set, Nail File for Gel Nails and Acrylic Nails, Nail Shapes, Callus Removal",18.98,13022.0,4.4,B0BYDR5PV9,https://www.amazon.de/-/en/COSLUS-Wireless-Portable-Professional-Manicure/dp/B0BYDR5PV9/ref=zg_bs_g_beauty_d_sccl_3/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,9.474472303967703,2.9433857931817817,7.600902459542082,51-100
54,"L'Oréal Men Expert Face Care for Men, Moisturising Cream with Guarana and Vitamin C, Hydra Energy Moisturiser 24H Anti-Fatigue XXL, 1 x 100 ml",12.9,18665.0,4.6,B08CCM3Q2T,https://www.amazon.de/-/en/LOr%C3%A9al-Moisturising-Guarana-Moisturiser-Anti-Fatigue/dp/B08CCM3Q2T/ref=zg_bs_g_beauty_d_sccl_4/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,9.834458966125691,2.5572273113676265,8.006367567650246,51-100
55,"Wavytalk Blowout Boost Ionic Thermal Brush, Makes Hair Smooth and Shiny, Curling Brush, 5 Temperature Levels, Gentle on Hair, 38 mm Barrel, Dual Voltage, Plug, Sakura Pink",42.76,1365.0,4.3,B0DRCQ4PBG,https://www.amazon.de/-/en/Wavytalk-Blowout-Thermal-Curling-Temperature/dp/B0DRCQ4PBG/ref=zg_bs_g_beauty_d_sccl_5/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,7.2196420401307355,3.7556030861568446,7.600902459542082,51-100
56,"Störtebekker Premium Solid Anti Dandruff Shampoo - Solid Shampoo Men & Women - 3-in-1 Shower Soap Men for Hair, Scalp & Beard - Vegan, Handmade (100 g)",14.99,968.0,4.2,B0F3XPPPJF,https://www.amazon.de/-/en/St%C3%B6rtebekker-Premium-Solid-Dandruff-Shampoo/dp/B0F3XPPPJF/ref=zg_bs_g_beauty_d_sccl_6/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,6.876264611890766,2.7073833121145063,8.006367567650246,51-100
57,"L'Oréal Men Expert Hydra Energy XXXL Shower Gel/Shampoo for Men, Men’s Body Care, Shower/Bath Set for Cleansing Body, Hair and Face, for Long-Lasting Freshness, with Taurine, 1 x 1000 ml",6.45,3412.0,4.8,B0CQHWV2QX,https://www.amazon.de/-/en/LOr%C3%A9al-Shampoo-Cleansing-Long-Lasting-Freshness/dp/B0CQHWV2QX/ref=zg_bs_g_beauty_d_sccl_7/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.135346948906706,1.864080130807681,8.006367567650246,51-100
58,"Biotherm Lait Corporel L'Original Moisturising Body Lotion with Life Plankton for Smooth Skin, Gentle Body Care with Delicate Fragrance, Body Lotion for Hydrated Skin",16.84,4224.0,4.7,B00017Y63O,https://www.amazon.de/-/en/Biotherm-Body-Cream-Anti-Drying-Extracts/dp/B00017Y63O/ref=zg_bs_g_beauty_d_sccl_8/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty,8.348774539791274,2.8237570088141806,8.294049640102028,51-100
59,"Garnier SkinActive Cloth Masks Set, Cloth Masks for the Face, Moisturising Face Masks, Refreshing, Revitalising, Smoothing, Gentle Radiant, Glow Boosting, Pack of 5",7.99,2346.0,4.7,B0FDWQRZY4,https://www.amazon.de/-/en/Garnier-SkinActive-Moisturising-Refreshing-Revitalising/dp/B0FDWQRZY4/ref=zg_bs_g_beauty_d_sccl_9/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,7.760893195851024,2.0781907597781832,6.907755278982137,51-100
60,Kneipp Aroma Care Foam Bath Muscle Relaxation with Valuable Arnica Extract 400 ml,2.75,1420.0,4.8,B0BGWXP2C8,https://www.amazon.de/-/en/Kneipp-Muscle-Relaxation-Valuable-Extract/dp/B0BGWXP2C8/ref=zg_bs_g_beauty_d_sccl_10/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,7.259116128097101,1.0116009116784799,6.907755278982137,51-100
61,CeraVe - Moisturising night cream for normal to dry skin,14.1,18228.0,4.6,B07C5XYT19,https://www.amazon.de/-/en/CeraVe-Moisturising-Night-Cream-52/dp/B07C5XYT19/ref=zg_bs_g_beauty_d_sccl_11/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,9.810769011532921,2.6461747973841225,8.006367567650246,51-100
62,"L'Oréal Paris Elvital Hydra Hyaluronic Moisturising XXXL Shampoo for Shiny Hair, Hyaluronic Shampoo for Moisture Boost & Protection, Long-Lasting Moisture and Care, 1000 ml",7.99,3131.0,4.7,B0BWFLY91K,https://www.amazon.de/-/en/Paris-Hyaluronic-Moisturising-Protection-Long-Lasting/dp/B0BWFLY91K/ref=zg_bs_g_beauty_d_sccl_12/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty,8.049427057110695,2.0781907597781832,8.006367567650246,51-100
63,"Botanic Hearth Rosemary Hair Oil - Hair Growth & Strengthening Care with Biotin, Jojoba & Castor Oil, Nourishing & Volumizing, Non-GMO - 198 ml",12.95,25982.0,4.4,B0C6XJMSGP,https://www.amazon.de/-/en/Botanic-Hearth-Rosemary-Hair-Strengthening/dp/B0C6XJMSGP/ref=zg_bs_g_beauty_d_sccl_13/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,10.165197756999154,2.5610957881455465,7.600902459542082,51-100
64,"Beauty of Joseon Relief Sun (50 ml, 1.69fl.oz)",16.04,10264.0,4.6,B09JVNZVH3,https://www.amazon.de/-/en/Beauty-Joseon-Relief-Sun-1-69fl-oz/dp/B09JVNZVH3/ref=zg_bs_g_beauty_d_sccl_14/261-6764158-5700328?psc=1,beauty,de,2000.0,Beauty,9.236495329453033,2.7750856024383683,7.600902459542082,51-100
65,"Candure hairdressing scissors for professional barber salons, premium hair cutting scissors with extra sharp and precise cuts for men, women, adults and pets",7.99,26812.0,4.6,B00CP3EA5G,https://www.amazon.de/-/en/Candure-hairdressing-scissors-professional-premium/dp/B00CP3EA5G/ref=zg_bs_g_beauty_d_sccl_15/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,10.196642123515149,2.0781907597781832,6.907755278982137,51-100
66,"CeraVe - Foam Gel - Cleans & Removes Excess Sebum Without Affecting Skin Barrier - Hyaluronic Acid, Ceramides & Niacinamide - Normal to Oily Skin - 562ml",18.29,99403.0,4.6,B0CRSJ46YD,https://www.amazon.de/-/en/CeraVe-Affecting-Hyaluronic-Ceramides-Niacinamide/dp/B0CRSJ46YD/ref=zg_bs_g_beauty_d_sccl_16/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty,11.506947633283692,2.906354462402774,6.907755278982137,51-100
