page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,11,"Dodot Toallitas Sensitive para Bebé, 15 Paquetes De 54 Unidades = 810 Toallitas, Óptima Protección para la Piel",€23.44,9172.0,4.7 out of 5 stars,B082N3CB8G,https://www.amazon.es/-/en/DODOT-8001841554952/dp/B082N3CB8G/ref=zg_bs_g_baby_d_sccl_11/520-5635638-3810734?psc=1,11,baby,es,4K+
1,12,"Frosch Baby - Bottle and Teat Cleaner, Removes Milk and Food Remains, Hypoallergenic and Eco-Friendly Product - Pack of 2 Units x 500ml",€6.38,1636.0,4.8 out of 5 stars,B0CNQ8NYF4,https://www.amazon.es/-/en/Frosch-Baby-Cleaner-Hypoallergenic-Eco-Friendly/dp/B0CNQ8NYF4/ref=zg_bs_g_baby_d_sccl_12/520-5635638-3810734?psc=1,12,baby,es,1K+
1,13,"Suavinex, Zero Zero Newborn Pacifier with Physiological Teat SX Pro for Babies 0-6 Months, Hypoallergenic, Suitable for Sensitive Skin, Skin-Friendly Silicone, Fair",€6.90,3217.0,4.7 out of 5 stars,B09QY9T9HZ,https://www.amazon.es/-/en/Suavinex-Physiological-Hypoallergenic-Sensitive-Skin-Friendly/dp/B09QY9T9HZ/ref=zg_bs_g_baby_d_sccl_13/520-5635638-3810734?psc=1,13,baby,es,1K+
1,14,"Weleda - Calendula Shampoo and Shower Gel, Cleans, Cares, Nourishes and Protects, Vegan, Suitable for Sensitive Skin - 200ml",€9.60,12629.0,4.8 out of 5 stars,B00K2Y8WWC,https://www.amazon.es/-/en/Weleda-Calendula-Nourishes-Protects-Sensitive/dp/B00K2Y8WWC/ref=zg_bs_g_baby_d_sccl_14/520-5635638-3810734?psc=1,14,baby,es,1K+
1,15,"Philips Avent SCF254/61 Disposable Nursing Pads - Pack of 60 Absorbent Pads for Day or Night Use, White",€7.50,20333.0,4.7 out of 5 stars,B0788CC2Y1,https://www.amazon.es/-/en/Philips-SCF254-61-Disposable-Nursing/dp/B0788CC2Y1/ref=zg_bs_g_baby_d_sccl_15/520-5635638-3810734?psc=1,15,baby,es,2K+
1,16,"Suavinex, Anti-colic Bottle + Zero Zero Pacifier. 180 ml Bottle with Adaptable Flow Nipple (A) and Newborn Pacifier Size -2/2 Months. Premature Friendly, Breastfeeding, Fair",€12.99,8384.0,4.5 out of 5 stars,B09KCQNCFW,https://www.amazon.es/-/en/Suavinex-Anti-colic-Pacifier-Adaptable-Breastfeeding/dp/B09KCQNCFW/ref=zg_bs_g_baby_d_sccl_16/520-5635638-3810734?psc=1,16,baby,es,700+
1,17,"Dodot Diaper-Panty Activity Pants, Size 5 (12-17 kg), 76 Nappies + Gift of 1 Pack of 40 Wipes, with 360 Adjustment Anti-Leak Extra Soft",€36.79,390.0,4.7 out of 5 stars,B0CCPL59GY,https://www.amazon.es/-/en/Diaper-Panty-Activity-Nappies-Adjustment-Anti-Leak/dp/B0CCPL59GY/ref=zg_bs_g_baby_d_sccl_17/520-5635638-3810734?psc=1,17,baby,es,500+
1,18,"Indasbed Basic Bed Protector, 60 x 90 cm – Pack of 20, White",€9.40,4976.0,4.4 out of 5 stars,B01ELDJ4FI,https://www.amazon.es/-/en/Indasbed-Basic-Bed-Protector-60/dp/B01ELDJ4FI/ref=zg_bs_g_baby_d_sccl_18/520-5635638-3810734?psc=1,18,baby,es,2K+
1,19,"LILLYDOO Skin-friendly Diapers - Size 1 (2+ kg), 24 Count, Leak Protection, Soft, Fragrance Free, Lotion Free, Dermatologist Tested",€6.99,3039.0,4.0 out of 5 stars,B0F3P2RSZL,https://www.amazon.es/-/en/LILLYDOO-Skin-friendly-Diapers-Protection-Dermatologist/dp/B0F3P2RSZL/ref=zg_bs_g_baby_d_sccl_19/520-5635638-3810734?psc=1,19,baby,es,300+
1,20,"By Amazon Ultra-Dry Diapers, Size 6 (15+ kg), Channeled, White, 140 Count (2 Packs of 70) - New Version (Formerly a Mama Bear brand, same product)",€30.11,13074.0,4.0 out of 5 stars,B084N3VCDD,https://www.amazon.es/-/en/Amazon-Ultra-Dry-Diapers-Channeled-White/dp/B084N3VCDD/ref=zg_bs_g_baby_d_sccl_20/520-5635638-3810734?psc=1,20,baby,es,200+
1,21,"Philips Avent Tetina de biberón Natural Response: 2 tetinas de biberón de flujo 5 para bebés a partir de 6 mes, sin BPA (modelo SCY965/02)",€7.45,13053.0,4.8 out of 5 stars,B0BWFNW2BB,https://www.amazon.es/-/en/Philips-Tetina-biber%C3%B3n-Natural-Response/dp/B0BWFNW2BB/ref=zg_bs_g_baby_d_sccl_21/520-5635638-3810734?psc=1,21,baby,es,1K+
1,22,"Huggies Pure Baby Wipes, 99% Pure Water, 18 Packs of 56, Total 1008 Wipes, Packaging May Vary",€29.70,7374.0,4.3 out of 5 stars,B0111AIZ68,https://www.amazon.es/-/en/Huggies-Wipes-Water-Packs-Packaging/dp/B0111AIZ68/ref=zg_bs_g_baby_d_sccl_22/520-5635638-3810734?psc=1,22,baby,es,3K+
1,23,Philips Avent Biberón Natural Response: biberón de 330 ml sin BPA para bebés a partir de 3 meses (modelo SCY906/01),€11.35,12934.0,4.7 out of 5 stars,B0BWFNGMP1,https://www.amazon.es/-/en/Philips-Avent-Biber%C3%B3n-Natural-Response/dp/B0BWFNGMP1/ref=zg_bs_g_baby_d_sccl_23/520-5635638-3810734?psc=1,23,baby,es,700+
1,24,"Eryplast Water Paste 2x125gr Saving Pack 2nd Unit 40% discount – Diaper Cream for Baby. Soothes, Cares and Protects the Skin Against Diaper Dermatitis – Hypoallergenic, Unscented and Pediatrically Tested",€20.00,6709.0,4.7 out of 5 stars,B06Y34XPVQ,https://www.amazon.es/-/en/Eryplast-Water-2x125gr-Saving-discount/dp/B06Y34XPVQ/ref=zg_bs_g_baby_d_sccl_24/520-5635638-3810734?psc=1,24,baby,es,0
1,25,"Dodot Baby Pants Diapers, Size 8,+17 kg, 21 Diapers, 360° Fit Anti-Leak Diaper-Brief",€14.99,1599.0,4.5 out of 5 stars,B0G3RK526V,https://www.amazon.es/-/en/Dodot-Pants-Diapers-Anti-Leak-Diaper-Brief/dp/B0G3RK526V/ref=zg_bs_g_baby_d_sccl_25/520-5635638-3810734?psc=1,25,baby,es,400+
1,26,"Dodot Pure Aqua Wipes for Baby, 1152 Wipes (24 Packs of 48 Units), Helps Restore the Natural PH of the Skin, 99% Water, Plastic-Free",€59.99,741.0,4.8 out of 5 stars,B0DP7K72L5,https://www.amazon.es/-/en/Dodot-Wipes-Restore-Natural-Plastic-Free/dp/B0DP7K72L5/ref=zg_bs_g_baby_d_sccl_26/520-5635638-3810734?psc=1,26,baby,es,7K+
1,27,no title,,1799.0,4.7 out of 5 stars,B0CKHL5YZD,https://www.amazon.es/-/en/Suavinex-symmetrical-anti-colic-silicone-months/dp/B0CKHL5YZD/ref=zg_bs_g_baby_d_sccl_27/520-5635638-3810734?psc=1,27,baby,es,0
1,28,"Mitosyl, Protective Ointment, Baby Diaper Cream, Prevents and Relieves Irritations, Gentle and Effective Formula for Daily Care, 65 g",€8.95,1970.0,4.8 out of 5 stars,B009M4MKDU,https://www.amazon.es/-/en/Mitosyl-Protective-Ointment-Irritations-Effective/dp/B009M4MKDU/ref=zg_bs_g_baby_d_sccl_28/520-5635638-3810734?psc=1,28,baby,es,1K+
1,29,"Suavinex, Pack of 2 Pacifiers with Physiological Silicone Teat SX Pro Flattening and More Flexible for Babies 0-6 Months – Pacifier for Newborn, Respects Oral Development, Dreams Blue",€7.55,1991.0,4.8 out of 5 stars,B0CKHJ1ZFQ,https://www.amazon.es/-/en/Suavinex-Pacifiers-Physiological-Silicone-Flattening/dp/B0CKHJ1ZFQ/ref=zg_bs_g_baby_d_sccl_29/520-5635638-3810734?psc=1,29,baby,es,200+
1,30,"Dodot Baby Dry Wipes, 384 Wipes, Recovers Baby's Skin pH (6 Packs of 64)",€8.95,907.0,4.7 out of 5 stars,B01N5HZ0NQ,https://www.amazon.es/-/en/Dodot-Wipes-Recovers-Babys-Packs/dp/B01N5HZ0NQ/ref=zg_bs_g_baby_d_sccl_30/520-5635638-3810734?psc=1,30,baby,es,0
1,31,BEPANTHOL BABY PROTECTIVE POMADA 100G,€10.99,2023.0,4.7 out of 5 stars,B005YNOXW4,https://www.amazon.es/-/en/BEPANTHOL-BABY-PROTECTIVE-POMADA-100G/dp/B005YNOXW4/ref=zg_bs_g_baby_d_sccl_31/520-5635638-3810734?psc=1,31,baby,es,600+
1,32,"Huggies Natural Care Baby Wipes, 56 Count (Pack of 10) Total - 560 Wipes",€14.98,9974.0,4.5 out of 5 stars,B00WE5ZS2E,https://www.amazon.es/-/en/Huggies-Natural-Wipes-Count-Total/dp/B00WE5ZS2E/ref=zg_bs_g_baby_d_sccl_32/520-5635638-3810734?psc=1,32,baby,es,1K+
1,33,"by Amazon Baby Refreshing Wipes, 1008 Wipes, Unscented, 18 Packs of 56 (Formerly Mama Bear Brand, but is the same product)",€14.57,5418.0,4.3 out of 5 stars,B085LQVHV8,https://www.amazon.es/-/en/Amazon-Refreshing-Unscented-Formerly-product/dp/B085LQVHV8/ref=zg_bs_g_baby_d_sccl_33/520-5635638-3810734?psc=1,33,baby,es,1K+
1,34,"ISDIN Nutraisdin Baby Naturals Pomada del Pañal Regeneradora, Crema que Protege y Regenera la Piel Sensibilizada de bebé, con 40% Zinc",€12.10,1670.0,4.8 out of 5 stars,B08WY4RYPS,https://www.amazon.es/-/en/ISDIN-Babynaturals-Regenerating-Ointment-Protection/dp/B08WY4RYPS/ref=zg_bs_g_baby_d_sccl_34/520-5635638-3810734?psc=1,34,baby,es,1K+
1,35,"Edibaby, Foldable Padded Baby Mat, Children's Design, Play Mat for Floor, Reversible, XPE, Baby Play Mat (Native | 200 x 180 | 1 cm)",€24.99,3571.0,4.8 out of 5 stars,B0CT3LQNY9,https://www.amazon.es/-/en/Edibaby-Foldable-Padded-Childrens-Reversible/dp/B0CT3LQNY9/ref=zg_bs_g_baby_d_sccl_35/520-5635638-3810734?psc=1,35,baby,es,300+
1,36,"Jané Folding Bed Barrier, Length 140 cm, Transport Bag, Extra High Design, Breathable",€36.95,4438.0,4.5 out of 5 stars,B0C4THNWQ6,https://www.amazon.es/-/en/Folding-Barrier-Length-Transport-Breathable/dp/B0C4THNWQ6/ref=zg_bs_g_baby_d_sccl_36/520-5635638-3810734?psc=1,36,baby,es,700+
1,37,"2 Pcs Baby Nasal Aspirator, Nasal Aspirators, Silicone Nose Cleaner Safe 10 ml, Reusable Nasal Irrigator for Babies, Nose Cleaner Safe, Comfortable and Safe",€4.99,9582.0,4.7 out of 5 stars,B09MCHYYMQ,https://www.amazon.es/-/en/Aspirator-Aspirators-Silicone-Irrigator-Comfortable/dp/B09MCHYYMQ/ref=zg_bs_g_baby_d_sccl_37/520-5635638-3810734?psc=1,37,baby,es,1K+
1,38,"Fhlbestyu Safety Lock Baby Drawers 10/8 Safety Baby Drawers, Safe Baby Doors, Safety Doors Children Safety Lock with Adjustable, No Drilling with Strong Adhesive",€9.99,1923.0,4.3 out of 5 stars,B0C1JWH9ZW,https://www.amazon.es/-/en/Fhlbestyu-Children-Adjustable-Drilling-Adhesive/dp/B0C1JWH9ZW/ref=zg_bs_g_baby_d_sccl_38/520-5635638-3810734?psc=1,38,baby,es,900+
1,39,"Amazon Brand - Mama Bear - Disney, Nappies Brief, Size 5 (12-17 kg), White, 140 Count (2 Packs of 70) -MONTHLY PACK",€34.40,6870.0,4.2 out of 5 stars,B089T7RMZ3,https://www.amazon.es/-/en/Amazon-Brand-Disney-Nappies-MONTHLY/dp/B089T7RMZ3/ref=zg_bs_g_baby_d_sccl_39/520-5635638-3810734?psc=1,39,baby,es,200+
1,40,"Medela Purelan Lanolin Nipple Cream - Relief for Sore Nipples and Dry Skin - Based on Natural Ingredients, Hypoallergenic and Dermatologically Tested, Fragrance Free, 37g",€15.56,10521.0,4.7 out of 5 stars,B08HDGKR5B,https://www.amazon.es/-/en/Medela-Purelan-Lanolin-Nipple-Cream/dp/B08HDGKR5B/ref=zg_bs_g_baby_d_sccl_40/520-5635638-3810734?psc=1,40,baby,es,0
1,41,"Weleda - Calendula Face Cream for Baby, Cares, Soothes, Protects and Provides Hydration, Suitable for Sensitive and Dry Skin - 50 ml",€7.99,5551.0,4.6 out of 5 stars,B00CULLWN6,https://www.amazon.es/-/en/Weleda-Calendula-Protects-Hydration-Sensitive/dp/B00CULLWN6/ref=zg_bs_g_baby_d_sccl_41/520-5635638-3810734?psc=1,41,baby,es,1K+
1,42,"Oderra Breast Milk Freeze Bags 50PCS - 250ml Double Sealed Breast Milk Storage Bags, Presterilized, Compatible with Refrigerators and Freezers",€6.99,305.0,4.7 out of 5 stars,B0DZXDTZ6B,https://www.amazon.es/-/en/Oderra-Breast-Milk-Freeze-Bags/dp/B0DZXDTZ6B/ref=zg_bs_g_baby_d_sccl_42/520-5635638-3810734?psc=1,42,baby,es,1K+
1,43,"Onco Baby Car Rear Seat Mirror – 100% Unbreakable, Baby Car Mirror, Universal Fit, 360° Rotation, Shake-Resistant",€16.99,34104.0,4.6 out of 5 stars,B01FCMV5RM,https://www.amazon.es/-/en/Onco-Baby-Rear-Seat-Mirror/dp/B01FCMV5RM/ref=zg_bs_g_baby_d_sccl_43/520-5635638-3810734?psc=1,43,baby,es,1K+
1,44,Momcozy Bottle Warmer Envelope,€76.49,95.0,4.6 out of 5 stars,B0FQPB2KB7,https://www.amazon.es/-/en/momcozy-Momcozy-Bottle-Warmer-Envelope/dp/B0FQPB2KB7/ref=zg_bs_g_baby_d_sccl_44/520-5635638-3810734?psc=1,44,baby,es,300+
1,45,Suavinex - Natural Sea Sponge for Baby. Large size. 100% Natural Baby Sponge,€4.60,1145.0,4.2 out of 5 stars,B003URR2UG,https://www.amazon.es/-/en/Suavinex-Natural-Sponge-Baby-Large/dp/B003URR2UG/ref=zg_bs_g_baby_d_sccl_45/520-5635638-3810734?psc=1,45,baby,es,1K+
1,46,"Blemil Baby Surveillance Camera, 6'' IPS Baby Monitor with Camera 4000 mAh Battery, No WiFi, Eco, Night Vision, Two-Way Audio, Cry Detection, Range of 300 meters (in Ideal Conditions",€69.99,3385.0,4.5 out of 5 stars,B0DG2QS4GG,https://www.amazon.es/-/en/Blemil-Surveillance-Monitor-Detection-Conditions/dp/B0DG2QS4GG/ref=zg_bs_g_baby_d_sccl_46/520-5635638-3810734?psc=1,46,baby,es,500+
2,51,ALMAR Baby Foldable Bathtub Baby up to 24 Months Grey with Thermometer Cushion Seat Reducer for Newborns with Non-Slip Feet Compact Temperature Indicator,€23.95,1160.0,4.6 out of 5 stars,B0CJVMKPNZ,https://www.amazon.es/-/en/Baby-Foldable-Thermometer-Temperature-Indicator/dp/B0CJVMKPNZ/ref=zg_bs_g_baby_d_sccl_1/520-5635638-3810734?psc=1,51,baby,es,0
2,52,"HUPIRCT 12 Pieces Spare Parts Diaper Bins, Original Diaper Bin Replacements, The Latest EVOH High Barrier Material, Strong Compatibility, Hassle-Free Installation",€19.98,857.0,4.4 out of 5 stars,B0CXPPZH6L,https://www.amazon.es/-/en/HUPIRCT-Replacements-Compatibility-Hassle-Free-Installation/dp/B0CXPPZH6L/ref=zg_bs_g_baby_d_sccl_2/520-5635638-3810734?psc=1,52,baby,es,1K+
2,53,WELEDA Calendula Body Milk (1 x 200 ml),€11.75,5208.0,4.8 out of 5 stars,B000YOFP3O,https://www.amazon.es/-/en/WELEDA-Calendula-Body-Milk-200/dp/B000YOFP3O/ref=zg_bs_g_baby_d_sccl_3/520-5635638-3810734?psc=1,53,baby,es,900+
2,54,Hoffenbach 20 x Baby Plug Protectors – Child Safety Plug Caps – Protection for Babies at Home – Swivel Plug Protectors – Home Safety – White,€7.99,4450.0,4.7 out of 5 stars,B0854MW97N,https://www.amazon.es/-/en/Hoffenbach-Baby-Plug-Protectors-Protection/dp/B0854MW97N/ref=zg_bs_g_baby_d_sccl_4/520-5635638-3810734?psc=1,54,baby,es,1K+
2,55,"Babylino Safe Nights Boy Absorbent Night Briefs 8-16 Years (30-50kg), 14 Pack",€9.69,513.0,4.4 out of 5 stars,B0CTS1KX4Q,https://www.amazon.es/-/en/Babylino-Nights-Absorbent-Briefs-30-50kg/dp/B0CTS1KX4Q/ref=zg_bs_g_baby_d_sccl_5/520-5635638-3810734?psc=1,55,baby,es,200+
2,56,ISDIN Pediatrics Fusion Water SPF 50 50 ml | Children's Sunscreen for Face | Ultra Light Texture | No Burning in Eyes | Suitable for All Skin Types,€21.42,1203.0,4.7 out of 5 stars,B06Y6BKQHR,https://www.amazon.es/-/en/ISDIN-Pediatrics-Ultra-Light-Sunscreen-Children/dp/B06Y6BKQHR/ref=zg_bs_g_baby_d_sccl_6/520-5635638-3810734?psc=1,56,baby,es,300+
2,57,"ALMAR Baby Safety Gate 67-74 cm White | Easy Assembly without Screws for Doors, Hallways or Stairs for Children or Pets | White Fence with Automatic Locking System Turn Both Sides",€32.95,499.0,4.4 out of 5 stars,B0DZ6WWVC1,https://www.amazon.es/-/en/Baby-Assembly-Hallways-Children-Automatic/dp/B0DZ6WWVC1/ref=zg_bs_g_baby_d_sccl_7/520-5635638-3810734?psc=1,57,baby,es,300+
2,58,"Huggies DryNites Overnight Diapers for Boys 4-7 (17-30kg), Clinically Tested with 5 Layers of Maximum Night Protection, 4 Packs of 16, Total 64 Absorbent Briefs",€44.99,5688.0,4.3 out of 5 stars,B071L6TR5W,https://www.amazon.es/-/en/DryNites-Overnight-Clinically-Protection-Absorbent/dp/B071L6TR5W/ref=zg_bs_g_baby_d_sccl_8/520-5635638-3810734?psc=1,58,baby,es,400+
2,59,no title,€23.61,,,B0G3RG1SMJ,https://www.amazon.es/-/en/Dodot-Sensitive-Nappies-6kg-10kg-Night/dp/B0G3RG1SMJ/ref=zg_bs_g_baby_d_sccl_9/520-5635638-3810734?psc=1,59,baby,es,300+
2,60,"Suavinex, Pack of 2 Teats for Zero Zero Anti-Colic Bottle, Replacement of 2 Adaptable Flow Teats (A) Adapts to Baby Suction Force, Specific Teat Mixed Breastfeeding, +0 M, Fair",€10.99,862.0,4.6 out of 5 stars,B0D2DTWPJM,https://www.amazon.es/-/en/Suavinex-Anti-Colic-Replacement-Adaptable-Breastfeeding/dp/B0D2DTWPJM/ref=zg_bs_g_baby_d_sccl_10/520-5635638-3810734?psc=1,60,baby,es,200+
2,61,"Medela Contact Nipples for Breastfeeding, Silicone and BPA Free Thin Protectors 1 Pack with Two Protectors (20 mm) and Case",€10.99,2470.0,4.4 out of 5 stars,B00DU6R360,https://www.amazon.es/-/en/Medela-Contact-Breastfeeding-Silicone-Protectors/dp/B00DU6R360/ref=zg_bs_g_baby_d_sccl_11/520-5635638-3810734?psc=1,61,baby,es,500+
2,62,"Interbaby Baby Cotton Muslin 80 x 80 cm | Pack of 3 Gauze for Newborns, Breastfeeding, Towel, Blanket | Baby Muslins Comfortable, Soft, Breathable | Blue Panda Design",€10.75,1106.0,4.5 out of 5 stars,B0B3DQWLCT,https://www.amazon.es/-/en/Interbaby-Newborns-Breastfeeding-Comfortable-Breathable/dp/B0B3DQWLCT/ref=zg_bs_g_baby_d_sccl_12/520-5635638-3810734?psc=1,62,baby,es,0
2,63,"Chelino Nature Children's Diaper Size 3 (4-10 kg), 216 Diapers",€41.34,979.0,4.2 out of 5 stars,B0916SLRXT,https://www.amazon.es/-/en/Chelino-Nature-Childrens-Diaper-Diapers/dp/B0916SLRXT/ref=zg_bs_g_baby_d_sccl_13/520-5635638-3810734?psc=1,63,baby,es,200+
2,64,"Naïf Mineral Sunscreen Stick for Babies and Children - SPF 50, Unscented, Microplastics and Mineral Oils Free, UVA/UVB Protection, Waterproof, Dermatologically Tested - 36g",€14.20,452.0,4.3 out of 5 stars,B0CZXY2MQN,https://www.amazon.es/-/en/Na%C3%AFf-Mineral-Sunscreen-Babies-Children/dp/B0CZXY2MQN/ref=zg_bs_g_baby_d_sccl_14/520-5635638-3810734?psc=1,64,baby,es,100+
2,65,"Huggies Little Movers Baby Diapers with Disney Designs Size 4 (7-18 kg), Skin Comfort 24/7, 3 Packs of 50, Total 150 Diapers",€45.99,11787.0,4.2 out of 5 stars,B07C993Z69,https://www.amazon.es/-/en/Huggies-Diapers-Designs-Comfort-150/dp/B07C993Z69/ref=zg_bs_g_baby_d_sccl_15/520-5635638-3810734?psc=1,65,baby,es,500+
2,66,"Suavinex, Detergent for bottles and teats cleans bottles, nipples, pacifiers and accessories. Unscented. Leaves no residue. Gel texture. 82% Ingredients of natural origin. 500 ml",€5.75,2657.0,4.7 out of 5 stars,B01FMNS81M,https://www.amazon.es/-/en/Suavinex-Detergent-accessories-Unscented-Ingredients/dp/B01FMNS81M/ref=zg_bs_g_baby_d_sccl_16/520-5635638-3810734?psc=1,66,baby,es,900+
2,67,"Medela Easy Pour Breastmilk Storage Bags, Disposable 210ml Bags, Leak Proof, Protect Milk Nutrients, BPA Free, 100 Pack, Amazon Exclusive",€15.90,1708.0,4.8 out of 5 stars,B0D97R57G3,https://www.amazon.es/-/en/Medela-Breastmilk-Disposable-Nutrients-Exclusive/dp/B0D97R57G3/ref=zg_bs_g_baby_d_sccl_17/520-5635638-3810734?psc=1,67,baby,es,900+
2,68,"Dodot Pure Aqua Soft Textured Baby Wipes, 900 Wipes (15 Packs of 60 Count) with 99% Water Lotion",€50.99,19.0,4.9 out of 5 stars,B0GCMVN3ZN,https://www.amazon.es/Dodot-Textured-Wipes-Packs-Lotion/dp/B0GCMVN3ZN/ref=zg_bs_g_baby_d_sccl_18/520-5635638-3810734?psc=1,68,baby,es,800+
2,69,"Momcozy 120 Breast Milk Storage Bags with Temperature Detection - Disposable, 180 ml",€19.99,2146.0,4.7 out of 5 stars,B0CQL6LN7W,https://www.amazon.es/-/en/Momcozy-Breast-Storage-Temperature-Detection/dp/B0CQL6LN7W/ref=zg_bs_g_baby_d_sccl_19/520-5635638-3810734?psc=1,69,baby,es,700+
2,70,"Fisher-Price Otter Bedtime - Musical Plush - With Movement, Sounds and Soothing Lights - Gift for Babies 0+ Months (FXC66)",€32.89,64120.0,4.6 out of 5 stars,B07N1JP56L,https://www.amazon.es/-/en/Fisher-Price-Otter-Bedtime-Movement-Soothing/dp/B07N1JP56L/ref=zg_bs_g_baby_d_sccl_20/520-5635638-3810734?psc=1,70,baby,es,2K+
2,71,NUK Mini Magic Cup Sippy Cup | 360° Spill Proof Rim | +6 Months | Handles for Easy Holding | BPA Free | 160ml | Mouse (Turquoise),€11.95,8214.0,4.6 out of 5 stars,B099RVYKNM,https://www.amazon.es/-/en/NUK-Months-Handles-Holding-Turquoise/dp/B099RVYKNM/ref=zg_bs_g_baby_d_sccl_21/520-5635638-3810734?psc=1,71,baby,es,100+
2,72,"MS Fancy Baby Play Mat 180 x 200 cm – Double Sided, Highly Padded Mat (1.5 cm Thick), Foldable and with Carry Bag",€24.99,885.0,4.7 out of 5 stars,B07BPJVVRG,https://www.amazon.es/-/en/Fancy-Baby-Play-Mat-180/dp/B07BPJVVRG/ref=zg_bs_g_baby_d_sccl_22/520-5635638-3810734?psc=1,72,baby,es,600+
2,73,"Dodot Pure Aqua Baby Wipes, 672 Wipes (14 Pack of 48 Count), Helps Restore Skin Natural PH, 99% Water, Plastic Free",€31.89,496.0,4.8 out of 5 stars,B0CP5X8ND2,https://www.amazon.es/-/en/Dodot-Wipes-Restore-Natural-Plastic/dp/B0CP5X8ND2/ref=zg_bs_g_baby_d_sccl_23/520-5635638-3810734?psc=1,73,baby,es,0
